label,text
0,go jurong point crazy available bugis n great world la e buffet cine got amore wat
0,ok lar joking wif u oni
1,free entry wkly comp win fa cup final tkts st may text fa receive entry questionstd txt ratetcs apply overs
0,u dun say early hor u c already say
0,nah dont think goes usf lives around though
1,freemsg hey darling weeks word back id like fun still tb ok xxx std chgs send � rcv
0,even brother like speak treat like aids patent
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
1,winner valued network customer selected receivea � prize reward claim call claim code kl valid hours
1,mobile months u r entitled update latest colour mobiles camera free call mobile update co free
0,im gon na home soon dont want talk stuff anymore tonight k ive cried enough today
1,six chances win cash pounds txt csh send cost pday days tsandcs apply reply hl info
1,urgent week free membership � prize jackpot txt word claim tc lccltd pobox ldnwarw
0,ive searching right words thank breather promise wont take help granted fulfil promise wonderful blessing times
0,date sunday
1,xxxmobilemovieclub use credit click wap link next txt message click xxxmobilemovieclubcomnqjkgighjjgcbl
0,oh kim watching
0,eh u remember spell name yes v naughty make v wet
0,fine that��s way u feel that��s way gota b
1,england v macedonia dont miss goalsteam news txt ur national team eg england trywales scotland txt̼ poboxoxwwq
0,seriously spell name
0,i���m going try months ha ha joking
0,� pay first lar da stock comin
0,aft finish lunch go str lor ard smth lor u finish ur lunch already
0,ffffffffff alright way meet sooner
0,forced eat slice im really hungry tho sucks mark getting worried knows im sick turn pizza lol
0,lol always convincing
0,catch bus frying egg make tea eating moms left dinner feel love
0,im back amp packing car ill let know theres room
0,ahhh work vaguely remember feel like lol
0,wait thats still clear sure sarcastic thats x doesnt want live us
0,yeah got v apologetic n fallen actin like spoilt child got caught till wont go badly cheers
0,k tell anything
0,fear fainting housework quick cuppa
1,thanks subscription ringtone uk mobile charged �month please confirm replying yes reply charged
0,yup ok go home look timings msg � xuhui going learn nd may lesson
0,oops ill let know roommates done
0,see letter b car
0,anything lor u decide
0,hello hows saturday go texting see youd decided anything tomo im trying invite anything
0,pls go ahead watts wanted sure great weekend abiola
0,forget tell want need crave love sweet arabian steed mmmmmm yummy
1,rodger burns msg tried call reply sms free nokia mobile free camcorder please call delivery tomorrow
0,seeing
0,great hope like man well endowed ltgt inches
0,callsmessagesmissed calls
0,didnt get hep b immunisation nigeria
0,fair enough anything going
0,yeah hopefully tyler cant could maybe ask around bit
0,u dont know stubborn didnt even want go hospital kept telling mark im weak sucker hospitals weak suckers
0,thinked first time saw class
0,gram usually runs like ltgt half eighth smarter though gets almost whole second gram ltgt
0,k fyi x ride early tomorrow morning hes crashing place tonight
0,wow never realized embarassed accomodations thought liked since best could always seemed happy cave im sorry didnt dont give im sorry offered im sorry room embarassing
1,sms ac sptv new jersey devils detroit red wings play ice hockey correct incorrect end reply end sptv
0,know mallika sherawat yesterday find lturlgt
1,congrats year special cinema pass call c suprman v matrix starwars etc free bxipwe pm dont miss
0,sorry ill call later meeting
0,tell reached
0,yesgauti sehwag odi series
0,gon na pick burger way home cant even move pain killing
0,ha ha ha good joke girls situation seekers
0,part checking iq
0,sorry roommates took forever ok come
0,ok lar double check wif da hair dresser already said wun cut v short said cut look nice
1,valued customer pleased advise following recent review mob awarded � bonus prize call
0,today song dedicated day song u dedicate send ur valuable frnds first rply
1,urgent ur awarded complimentary trip eurodisinc trav acoentry � claim txt dis �morefrmmob shracomorsglsuplt ls aj
1,hear new divorce barbie comes kens stuff
0,plane give month end
0,wah lucky man save money hee
0,finished class
0,hi babe im home wan na something xx
0,kkwhere youhow performed
0,u call
0,waiting machan call free
0,thats cool gentleman treat dignity respect
0,like peoples much shy pa
0,operate ltgt
0,still looking job much tas earn
0,sorry ill call later
0,k call ah
0,ok way home hi hi
0,place man
0,yup next stop
0,call later dont network urgnt sms
0,real u getting yo need tickets one jacket im done already used multis
0,yes started send requests make pain came back im back bed double coins factory got ta cash nitros
0,im really still tonight babe
0,ela kanoil download come wen ur free
0,yeah don���t stand close tho you���ll catch something
0,sorry pain ok meet another night spent late afternoon casualty means havent done stuffmoro includes time sheets sorry
0,smile pleasure smile pain smile trouble pours like rain smile sum hurts u smile becoz someone still loves see u smiling
1,please call customer service representative ampm guaranteed � cash � prize
0,havent planning buy later check already lido got show e afternoon u finish work already
1,free ringtone waiting collected simply text password mix verify get usher britney fml
0,watching telugu moviewat abt u
0,see finish loads loans pay
0,hi wk ok hols yes bit run forgot hairdressers appointment four need get home n shower beforehand cause prob u ham
0,please dont text anymore nothing else say
0,okay name ur price long legal wen pick u ave x ams xx
0,im still looking car buy gone driving test yet
0,per request melle melle oru minnaminunginte nurungu vettam set callertune callers press copy friends callertune
0,wow youre right didnt mean guess gave boston men changed search location nyc something changed cuz signin page still says boston
0,umma life vava umma love lot dear
0,thanks lot wishes birthday thanks making birthday truly memorable
0,aight ill hit get cash
0,would ip address test considering computer isnt minecraft server
0,know grumpy old people mom like better lying always one play jokes
0,dont worry guess hes busy
0,plural noun research
0,going dinnermsg
0,im ok wif cos like try new things scared u dun like mah cos u said loud
1,gent trying contact last weekends draw shows � prize guaranteed call claim code k valid hrs ppm
0,wa ur openin sentence formal anyway im fine juz tt im eatin much n puttin weighthaha anythin special happened
0,entered cabin pa said happy bday boss felt special askd lunch lunch invited apartment went
1,winner u specially selected receive � holiday flights inc speak live operator claim pmin
0,goodo yes must speak friday eggpotato ratio tortilla needed
0,hmmmy uncle informed hes paying school directly pls buy food
1,private account statement shows unredeemed bonus points claim call identifier code expires
